"zone","state","lga","sector","ea","hhid","plotid","s11b1q2","s11b1q3","s11b1q4","s11b1q5","s11b1q6_1","s11b1q6_2","s11b1q6_3","s11b1q6_4","s11b1q6_5","s11b1q6_6","s11b1q6_7","s11b1q6_8","s11b1q6_9","s11b1q6_10","s11b1q6_11","s11b1q6_12","s11b1q6_13","s11b1q7","s11b1q8_1","s11b1q8_2","s11b1q8_3","s11b1q8_5","s11b1q8b1_1","s11b1q8b1_2","s11b1q8b1_3","s11b1q8b1_4","s11b1q8b1_5","s11b1q8b1_6","s11b1q8b1_7","s11b1q8b1_8","s11b1q8b1_9","s11b1q8b1_10","s11b1q8b1_11","s11b1q8b1_12","s11b1q8b1_13","s11b1q8b2_1","s11b1q8b2_2","s11b1q8b2_3","s11b1q8b2_4","s11b1q8b2_5","s11b1q8b2_6","s11b1q8b3_1","s11b1q8b3_2","s11b1q8b3_3","s11b1q8b3_4","s11b1q8b3_5","s11b1q8b3_6","s11b1q8b4_1","s11b1q8b4_2","s11b1q8b4_3","s11b1q8b4_4","s11b1q8b4_5","s11b1q8b4_6","s11b1q8b4_7","s11b1q8a","s11b1q9_1","s11b1q9_2","s11b1q9_4","s11b1q9_5","s11b1q9_6","s11b1q9_3","s11b1q9_os","s11b1q9a","s11b1q10_1","s11b1q10_2","s11b1q10_3","s11b1q10_4","s11b1q10_5","s11b1q10_6","s11b1q10_7","s11b1q10_8","s11b1q10_os","s11b1q10cc","s11b1q10dd","s11b1q10e_1","s11b1q10e_2","s11b1q10e_3","s11b1q13","s11b1q13a","s11b1q13a_os","s11b1q14","s11b1q14a","s11b1q17","s11b1q16a_1","s11b1q16a_2","s11b1q16_1","s11b1q16_2","s11b1q16_3","s11b1q16_4","s11b1q16_5","s11b1q16_6","s11b1q16_7","s11b1q16_8","s11b1q14a1","s11b1q14b1","s11b1q19","s11b1q19a","s11b1q20","s11b1q21","s11b1q22_1","s11b1q22_2","s11b1q22_3","s11b1q22_4","s11b1q22_5","s11b1q22_6","s11b1q22_7","s11b1q22_8","s11b1q22_9","s11b1q23a","s11b1q23b_1","s11b1q23b_2","s11b1q23b_3","s11b1q23b_4","s11b1q23b_5","s11b1q23b_6","s11b1q23b_7","s11b1q23b_8","s11b1q23b_9","s11b1q23b_10","s11b1q23b_11","s11b1q23b_12","s11b1q23b_13","s11b1q23b_14","s11b1q23b_15","s11b1q23b_16","s11b1q23b_17","s11b1q23b_18","s11b1q23b_19","s11b1q23b_20","s11b1q23b_21","s11b1q23c_1","s11b1q23c_2","s11b1q23c_3","s11b1q23c_4","s11b1q23c_5","s11b1q23c_6","s11b1q23c_7","s11b1q23c_8","s11b1q23c_9","s11b1q23c_n999","s11b1q23c_os","s11b1q24","s11b1q25a_1","s11b1q25a_2","s11b1q25a_3","s11b1q25a_4","s11b1q25a_5","s11b1q25a_6","s11b1q25a_7","s11b1q25a_8","s11b1q25a_9","s11b1q25a_10","s11b1q25a_11","s11b1q25a_12","s11b1q25a_13","s11b1q25","s11b1q25_os","s11b1q26a","s11b1q26","s11b1q28","s11b1q28_os","s11b1q28a","s11b1q29a","s11b1q31","s11b1q32","s11b1q32_os","s11b1q33","s11b1q34","s11b1q34_os","s11b1q35a","s11b1q35b","s11b1q35","s11b1q37a","s11b1q37b","s11b1q39","s11b1q40","s11b1q40_os","s11b1q41_1","s11b1q41_2","s11b1q41_3","s11b1q41_4","s11b1q41_5","s11b1q41_6","s11b1q41_7","s11b1q41_8","s11b1q41_9","s11b1q41_os","s11b1q42","s11b1q43","s11b1q43_os","s11b1q44","s11b1q44_os","s11b1q45","s11b1q46","s11b1q47","s11b1q48_1","s11b1q48_2","s11b1q48_7","s11b1q48_3","s11b1q48_4","s11b1q48_5","s11b1q48_6","s11b1q48_os","s11b1q49","s11b1q50_1","s11b1q50_2","s11b1q50_3","s11b1q50_4","s11b1q50_5","s11b1q50_6","s11b1q50_7","s11b1q50_8","s11b1q50_9","s11b1q50_10","s11b1q50_os","s11b1q51","s11b1q27","s11b1q11a","s11b1q11b","s11b1q11b_os"
2,5,520,2,1756,50161,2,1,2008,4,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,5,7,8,10,11,12,13,14,16,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,80000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
2,5,520,2,1756,50161,3,1,1998,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,5,7,8,10,11,12,13,14,16,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,80000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
2,5,520,2,1756,50161,4,1,2003,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,5,7,8,10,11,12,13,14,16,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,60000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
2,5,520,2,1756,50161,5,1,1988,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,5,7,8,10,11,12,13,14,16,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1000000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50162,1,1,2018,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,2,4,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,53,,1,300000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50162,2,1,2018,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,1,2,4,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,53,,1,100000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50163,1,1,1988,5,,1,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,250000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50163,2,1,1988,5,,1,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,150000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50163,3,1,1978,5,,1,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5000,,,,,,,,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,100000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50164,1,1,2018,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,53,,1,200000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
2,5,520,2,1756,50164,2,1,2000,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,4,5,6,7,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,150000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50164,3,1,1993,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,4,5,6,7,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,500000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50165,2,2,2015,5,,1,8,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,2,3,4,5,6,8,,,,,,,,5000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,,,,,,,,,,,,,,3,500000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50165,3,2,2015,5,,1,6,8,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,2,3,4,5,6,8,,,,,,,,5000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,,,,,,,,,,,,,,3,250000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50166,1,1,2008,5,,1,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,1,2,3,5,6,7,8,9,10,12,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,200000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50166,2,1,2008,5,,1,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,5,6,7,8,9,10,12,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,150000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50166,3,1,1994,5,,1,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5000,,,,,,,,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,5,6,7,8,9,10,12,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,100000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50167,1,1,2008,5,,1,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,1,5,6,7,9,10,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,350000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50167,2,1,2008,5,,1,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,1,5,6,7,9,10,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,300000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50167,3,1,2008,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,1,5,6,7,9,10,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,250000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,2,
2,5,520,2,1756,50167,4,1,2008,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,1,5,6,7,9,10,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,200000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,3,
2,5,520,2,1756,50167,5,1,1993,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,5,6,7,9,10,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,52,,3,850000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50168,1,1,2012,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,6,,,,,,,,1,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,3,150000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
2,5,520,2,1756,50168,2,1,2010,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,6,,,,,,,,1,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,100000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
2,5,520,2,1756,50168,3,1,2007,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,6,,,,,,,,1,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,200000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50169,1,1,2010,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,,,,,,,,,1,3,4,5,7,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,400000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50169,2,1,2007,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,,,,,,,,,1,3,4,5,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,2,200000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,2,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
2,5,520,2,1756,50169,3,1,2007,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,,,,,,,,,1,3,4,5,7,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,2,250000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
2,5,520,2,1756,50170,1,1,2016,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,4,,,,,,,,,1,3,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,150000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,520,2,1756,50170,2,1,2007,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,4,,,,,,,,,1,3,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,,,,,,,,,,,,3,130000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
2,5,520,2,1756,50170,3,1,2014,1,55000,1,,,,,,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,500,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,4,,,,,,,,,1,3,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,,,,,,,,,,,,2,100000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
2,5,520,2,1756,50170,4,1,2011,5,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,4,,,,,,,,,1,3,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,,,,,,,,,,,,2,70000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,2,1,
2,5,502,1,562,59002,1,1,9999,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,55,,1,3000000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,502,1,562,59003,1,1,1987,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,1,,60,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,502,1,562,59005,1,2,2005,1,2000000,1,,,,,,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,10000000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,502,1,562,59005,2,2,1998,1,5000000,1,,,,,,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,5000000,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2,5,502,1,562,59005,3,2,2000,1,200000,2,,,,,,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,10000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,300000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,1,,
2,5,502,1,562,59005,4,2,2000,1,180000,1,,,,,,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,270000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,1,1,,
2,5,502,1,562,59005,5,1,2000,1,150000,1,,,,,,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,200000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,5,,1,2,2,,,,,,,,,2,,,,,,,,,,,,,1,1,,
2,5,502,1,562,59005,6,2,2002,1,200000,1,,,,,,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10000,,,,,,,,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,250000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,2,2,,,,,,,,,2,,,,,,,,,,,,,1,1,,
2,5,502,1,562,59005,7,2,1999,1,120000,1,,,,,,,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10000,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,170000,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,2,2,,,,,,,,,2,,,,,,,,,,,,,1,1,,
2,5,502,1,562,59006,1,1,2014,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,1,,0,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,1,2,2,,,,,,,,,2,,,,,,,,,,,,,1,1,,
2,5,502,1,562,59006,2,1,2014,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,1,,0,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,2,2,,,,,,,,,2,,,,,,,,,,,,,1,1,,
